acmedsci-22fb6eae7edf21342e2cc87d3ba01344,"14 July 2020",,2020-07-13,f,"The Academy of Medical Sciences",UK,"think tank",,"Coronavirus disease 2019|Humidity|Clinical trial|Particulates|Medication|Hand washing|Human orthopneumovirus|Intensive care unit|Hospital-acquired infection|Adherence (medicine)|Public health surveillance|Coronavirus|Patient|2019–20 coronavirus pandemic|Vitamin D|Hygiene|Vaccine|Virus|Severe acute respiratory syndrome coronavirus 2|Medicine|Emergency department|Risk|Chronic fatigue syndrome|Influenza-like illness|General practitioner|Health professional|Caregiver|COVID-19 pandemic|Oseltamivir|Antiviral drug|Emergency management|Common cold|Influenza vaccine|Infection control|Air pollution|Public health|Disease|Chronic condition|Hospital|Transmission (medicine)|Mental disorder|National Health Service|Infection|Health care|Health|Influenza|Health sciences|Clinical medicine|Epidemiology|Medical specialties|Preventive healthcare|Physical therapy|Severe acute respiratory syndrome|Surgery|Poverty|Comorbidity|Intensive care medicine|Vaccination|Nursing home care|Quarantine|Anxiety|Diseases and disorders|Depression (mood)|Social work|Bronchiectasis|Indoor air quality|Flu season|Immune system|Psychological resilience|Therapy|Surveillance|Pandemic|Fatigue|Asthma|National Institute for Health and Care Excellence|Research|Mortality rate|Posttraumatic stress disorder|Ventilation (architecture)|Risk assessment|Aerosol|Personal protective equipment|Epidemic|Point of care|Atmosphere of Earth|Major depressive disorder|Pharmacy|Primary care|Kidney disease|Pathogen|Chronic obstructive pulmonary disease|Health system|Death|Outbreak|Contact tracing|Neuraminidase inhibitor|Royal College of General Practitioners|Methicillin-resistant Staphylococcus aureus|Chikungunya"
acmedsci-38f0c6fe618d3cf0275cbcc447773553,"Improving the health of the public by 2040",,2016-10-11,f,"The Academy of Medical Sciences",UK,"think tank",,"Public health|Health|Preventive healthcare|Health care|Sustainability|Evidence-based medicine|Health equity|Employment|Disease|Non-communicable disease|Life expectancy|Research|Ecology|Behavior|Obesity|Economic growth|Effects of global warming|Economic development|Economic inequality|Health system|Culture|Artificial intelligence|Planetary health|Antimicrobial resistance|Poverty|Climate change|Personalized medicine|Climate change mitigation|Human|Education|Technology|Air pollution|Health sciences|Evaluation|Social media|Population ageing|Infection|Pollution|Ageing|Innovation|Infant mortality|Risk|Epidemiology|Childbirth|Social work|Medical diagnosis|Health informatics|Medicine|Exercise|Internet of things|Crowdsourcing|Immigration|National Health Service|Social determinants of health|Quality of life|Mental health|Disability|3D printing|United Kingdom|Natural environment|Science|Population health|Transdisciplinarity"
actskenya-78af318eefb21affe239098700e68221,"Mainstreaming Gender in Bioenergy Projects: Lessons from PISCES",,2013-06-05,f,"African Centre for Technology Studies",Kenya,"think tank",,"Gender|Sustainability|Gender mainstreaming|Gender equality|International development|Millennium Development Goals|Evaluation|Research|Poverty|Qualitative research|Poverty reduction|Cook stove|Bioenergy|Innovation|Energy poverty|Renewable energy|Gender and development|Quantitative research|Human activities|Air pollution|Policy|Biofuel|Technology|Biomass|Developing country|Goal|Justice|Sustainable energy|Stove|Design|Capacity building|Culture|Economy|Social inequality|Sustainable development|Food and Agriculture Organization|Welfare|Department for International Development|Attention|Gender role"
ademefr-b42ba50ee690f8df18256623b19daac8,"Phytoavailability of ETMs for Vegetable Plants and Extrapulations in ...","L'étude PhytExPPO, initiée et soutenue par l'ADEME sur une durée de deux ans, fournit aux gestionnaires de sites contaminés par les ETM des outils leur perme...",2017-10-16,t,ADEME,France,government,agency,"Heavy metals|Vegetable|Cadmium|Arsenic|Soil|Pollution|Lead|Tomato|Natural environment|Manganese|Plants|Edible plants|Chemistry|Agriculture|Metal|Bioaccumulation|Radish|Copper|Agronomy|Nickel|Crops|Potato|Zinc|Cucumber|Soil contamination|Vegan cuisine|Plants and humans|Kitchen garden|Chromium|Eggplant|Soil conditioner|Chard"
ademefr-bcaf8411fa5088e68c4c1784c176b007,"Price of the renovation and organization of the sector (PROFIL)","PROFIL (« Prix de la rénovation et organisation de la filière ») est un projet de recherche mené en consortium par EDF R&D et le CSTB en 2016 et 2017. Il rép...",2018-05-17,t,ADEME,France,government,agency,"Efficient energy use|Legal person|Renovation|Research|Energy conservation|Construction|Dwelling|European Union|Management|France|Directive (European Union)|Handicraft|Supply and demand|Renewable energy|Thermal insulation|Economy|Human activities|Passive house|Market (economics)|Architect|Sales|General contractor|World energy consumption|Germany|Électricité de France|Natural environment|Building insulation|Biological dispersal|Marketing|Advertising|Competition (economics)|Boiler|Belgium|Tax|Photovoltaics"
ademefr-cf751023e76faf87ac8035758cf41844,"PVPS annual report 2018","This document summarizes the actions of member countries and the activities in all research programs (tasks). According to annual report, 2018 has seen close...",2019-05-17,f,ADEME,France,government,agency,"International Energy Agency|Photovoltaics|Photovoltaic system|Electrical grid|Solar power|Energy|Technology|Life-cycle assessment|Solar panel|Nature|Smart grid|Human activities|Sustainability|Reliability engineering|Renewable energy|Forecasting"
adminch-0d80edbe784e40509b8c8b307d6c4415,"Equality in the world of work",,2018-04-12,t,"Government of Switzerland",Switzerland,government,,"Convention on the Rights of Persons with Disabilities|Disability|Organizational culture|Management style|Accessibility|Social integration|Culture|Assumption|Human activities|Sociological theories|Management|Health|Behavioural sciences|Scientific theories|Ethics|Applied psychology|Cognition"
adminch-48c76fe238103fa74f347cea7e08e492,"Methodology Mapping and Pathways Forward",,2017-11-22,f,"Government of Switzerland",Switzerland,government,,"Sustainability|Planetary boundaries|Greenhouse gas|Nature|Natural environment|Earth sciences|Economy|Sustainable Development Goals|Natural resource|Environmental social science|Biodiversity|Environmental science|International Resource Panel"
adminch-6cb988a3fcb07b00b508adb92a82ecec,"Sociograph No. 22 a",,2015-12-21,t,"Government of Switzerland",Switzerland,government,,"Drug|Substance dependence|Cannabis (drug)|MDMA|Gamma-Hydroxybutyric acid|Disability-adjusted life year|Cocaine|David Nutt|Lysergic acid diethylamide|Heroin|Health|Psychosis|Medicine|Medical specialties|Depression (mood)|Drug policy|Controlled Drug in the United Kingdom|United Nations Office on Drugs and Crime|Clinical medicine|Hallucinogen|Psychoactive drugs|Politics|Amphetamine|Psilocybin mushroom"
adminch-7dd66b5efa688c71e51d01659dbe8eea,"Preventing violence in old age",,2020-03-02,t,"Government of Switzerland",Switzerland,government,,"Preventive healthcare|Child abuse|Health|Human activities|Neglect|Social institutions|Human nature|Eastern Switzerland|Issues in ethics|Social issues|Violence|Domestic violence|Aggression"
adminch-81e23ad1d00a648d0932e9d4ba9a8995,"Control of continuing medical education",,2014-06-17,t,"Government of Switzerland",Switzerland,government,,"Physician|Evaluation|Family medicine|Prediction|Human activities|Health sciences|Health|Health care|Health system|Medicine|General practitioner|Australia|Hospital|Decision"
adminch-c79652cb5c5b9d4d4aad653de666a108,"Ausschreibung Externe Evaluation",,2021-06-29,f,"Government of Switzerland",Switzerland,government,,"Clinical medicine|Nonbenzodiazepine|Insomnia|Benzodiazepine|Hypnotic|Randomized controlled trial|Oxazepam|Health|Medicine|Health care|Health sciences|Sedative|Flurazepam|Substance dependence|Systematic review|Medical specialties|Zolpidem|Sleep|Diagnostic and Statistical Manual of Mental Disorders|Lormetazepam|Diazepam|Anxiety|Temazepam|Lorazepam|Quality-adjusted life year|Evidence-based medicine"
adminch-d4753781aedd870b76cbbd4e168d4f63,"Sociograph n ° 22 b",,2015-12-21,f,"Government of Switzerland",Switzerland,government,,"Drug|Lysergic acid diethylamide|Health|Drugs|Pharmacology|Psychoactive drugs|Social aspects of psychoactive drugs|Health care|Drugs acting on the nervous system|Medicine|Pharmacy|Medical treatments|Pharmaceutical sciences|Products of chemical industry|Medicinal chemistry"
adminch-fce994b6cee5da965636c38c52dbd627,"Evivo self-management for migrants",,2020-01-27,t,"Government of Switzerland",Switzerland,government,,"Human nature|Empathy|Human migration|Health literacy|Motivation|Culture|Disease|Emotion|Down syndrome|Psychology|Health|Psychological concepts|Loneliness|Concepts in metaphysics|Feeling|Switzerland|Psychological trauma|Cognition|Human activities|Major depressive disorder|German language|Psyche (psychology)|Consciousness|Stress (biology)|Communication|Soul|Standard German"
afdb-70793217b0e0acb53ab8e2892d73482c,"Working Paper - 208 - The Main Obstacles to Firms Growth in Senegal Implications for the Long-Run","Several decades ago, Africa’s economic development was on par to that of South Asia (Collier and Gunning, 1999). However, in the 70s and 80s, economic growth in many African countries lagged and the development paths of the two developing continents diverged (Berthelemy and Söderling, 2001). As a result of the very low rates of growth and deterioration in terms of trade 37 Sub-Saharan African countries adopted stabilization and structural adjustment programs with the financial support of the International Monetary Fund (IMF) and the World Bank.",2019-05-20,f,"African Development Bank",IGO,igo,"development bank","Economic growth|Ordinary least squares|Education|Productivity|Production function|Cointegration|Labour economics|Estimator|Economics|Economy|Human capital|Errors and residuals|Employment|Human activities|Structural adjustment|Poverty|Gross domestic product|Sub-Saharan Africa|Standard error|Economic development|Revenue|Long run and short run|P-value|Capital (economics)|Africa|Parameter|Business|Diploma"
afdb-c1706979d45adc379525b6f94efa06ba,"Working Paper 236 - Estimating Development Resilience: A Conditional Moments-Based Approach","Over the past several years, natural disasters, food price and macroeconomic shocks, and conflict have prompted recurring humanitarian emergencies in many of the world’s lowest income countries. In direct response, international development and relief agencies have become preoccupied with the concept of resilience, committing increasingly large amounts of funding, programming, and research toward “building resilience.” They struggle, however, to develop methods to implement the concept empirically so as to guide policy and project design, measure progress, and evaluate interventions.",2019-05-20,f,"African Development Bank",IGO,igo,"development bank","Generalized linear model|Moment (mathematics)|Psychological resilience|Variance|Poverty|Statistics|Ordinary least squares|Regression analysis|Mean|P-value|Poverty gap index|Likelihood function|Prediction|Forecasting|International development|Statistical theory|Probability density function|Gamma distribution|Errors and residuals|Assumption|Beta distribution|Log-normal distribution|Climate resilience|Kurtosis|Development economics|Mathematics|Economics|Parameter|Poverty threshold|Ecological resilience|Heteroscedasticity|Maximum likelihood estimation|Dependent and independent variables|Sample mean and covariance|Autoregressive model|Bootstrapping (statistics)|Risk|Correlation and dependence|Causality|Dynamical system|Well-being"
